"Agent","Status","Main"
"agentforlaw","Missing",
"claw-code","Missing",
"claw-coder","Missing",
"crustyclaw","Missing",
"dataclaw","Missing",
"docuclaw","Missing",
"eagleclaw","Missing",
"knowledge","Missing",
"langclaw","Missing",
"mathematicaclaw","Missing",
"mediclaw","Missing",
"polyclaw","Missing",
"rustypycraw","Missing",
"sysclaw","Missing",
"tx-agent","Missing",
"unified","Missing",
"webclaw","Missing",
